STRIKE_PRICE,09:20:46,09:25:26,09:30:26
"14,500.00",-,-,-49
"14,550.00",-,-,-
"14,600.00",-,-,-
"14,650.00",-,-,-
"14,700.00",-,-,-
"14,750.00",-,-,-
"14,800.00",-,-,-
"14,850.00",-,-,-
"14,900.00",-,-,-
"14,950.00",-,-,-
"15,000.00",-,-,-2
"15,050.00",-,-,-
"15,100.00",-,-,-
"15,150.00",-,-,-
"15,200.00",-,-,-
"15,250.00",-,-,-
"15,300.00",-,-,-
"15,350.00",-,-,-
"15,400.00",-,-,-
"15,450.00",-,-,-
"15,500.00",-,-,-
"15,550.00",-,-,-
"15,600.00",-,-,-
"15,650.00",-,-,-
"15,700.00",-,-,-
"15,750.00",-,-,-
"15,800.00",-,-,-
"15,850.00",-,-,-
"15,900.00",-,-,-
"15,950.00",-,-,-
"16,000.00",-,-,-
"16,050.00",-,-,-
"16,100.00",-,-,-
"16,150.00",-,-,-
"16,200.00",-,-,-
"16,250.00",-,-,-
"16,300.00",-,-,-
"16,350.00",-,-,-
"16,400.00",-,-,-
"16,450.00",-,-,-
"16,500.00",-,-,2
"16,550.00",-,-,-
"16,600.00",-,-,-
"16,650.00",-,-,-
"16,700.00",-,-,-
"16,750.00",-,-,-
"16,800.00",-,-,-
"16,850.00",-,-,-
"16,900.00",-,-,-
"16,950.00",-,-,-
"17,000.00",-,-108,-115
"17,050.00",-,-,-
"17,100.00",-,-,-
"17,150.00",-,-,-
"17,200.00",-,-,-
"17,250.00",-,-,-
"17,300.00",-,-,-
"17,350.00",-,-,-
"17,400.00",-,-,-
"17,450.00",-,-,-
"17,500.00",-1,-1,-8
"17,550.00",-,-,-
"17,600.00",-,-,-6
"17,650.00",-,-,-
"17,700.00",-,-11,-35
"17,750.00",-2,-2,-3
"17,800.00",-,-53,-49
"17,850.00",-,1,-8
"17,900.00",-62,-77,-68
"17,950.00",-,11,13
"18,000.00",-,787,"2,315"
"18,050.00",-16,-16,4
"18,100.00",-527,-527,467
"18,150.00",-205,-205,420
"18,200.00","-1,797","-1,797","1,659"
"18,250.00",-,"-3,177","-1,996"
"18,300.00","9,240","9,240","34,615"
"18,350.00",-,"21,457","50,384"
"18,400.00","20,039","20,039","45,757"
"18,450.00",-,"15,231","30,609"
"18,500.00",-,"5,429","15,810"
"18,550.00",-,"7,479","9,671"
"18,600.00",-,"11,429","25,527"
"18,650.00",-,184,-409
"18,700.00",-,"5,875","8,300"
"18,750.00",-,"1,254","2,375"
"18,800.00",-,"1,836","7,927"
"18,850.00",-,375,374
"18,900.00",765,765,-353
"18,950.00",-,113,252
"19,000.00",-441,-441,"-1,015"
"19,050.00",-,20,"2,111"
"19,100.00",-203,-203,-429
"19,150.00",15,15,15
"19,200.00",-,719,248
"19,250.00",3,3,16
"19,300.00",296,296,116
"19,350.00",24,24,53
"19,400.00",-,-56,-17
"19,450.00",1,1,174
"19,500.00",-,"1,186","1,637"
"19,550.00",-,2,33
"19,600.00",-,-584,-504
"19,650.00",-,-64,-45
"19,700.00",4,4,"-3,342"
"19,750.00",-,-,18
"19,800.00",-,22,"-8,822"
"19,850.00",-,5,5
"19,900.00",-,-740,"-2,592"
"19,950.00",-,-108,-292
