STRIKE_PRICE,09:20:46,09:25:26,09:30:26
"14,500.00",-,36,318
"14,550.00",-,-,-
"14,600.00",-,-,-
"14,650.00",-,-,-
"14,700.00",-,-,-
"14,750.00",-,-,-
"14,800.00",-,-,-
"14,850.00",-,-,-
"14,900.00",-,-,-
"14,950.00",-,-,-
"15,000.00",-,-9,-78
"15,050.00",-,-,-
"15,100.00",-,-,-
"15,150.00",-,-,-
"15,200.00",-,-,-
"15,250.00",-,-,-
"15,300.00",-,-,-
"15,350.00",-,-,-
"15,400.00",-,-,-
"15,450.00",-,-,-
"15,500.00",-,-,-21
"15,550.00",-,-,-
"15,600.00",-,-,-
"15,650.00",-,-,-
"15,700.00",-,2,-1
"15,750.00",-,-,-
"15,800.00",-,-,-
"15,850.00",-,-,-
"15,900.00",-,-,-
"15,950.00",-,-,-
"16,000.00",-,-3,-479
"16,050.00",-,-,-
"16,100.00",-,-,-1
"16,150.00",-,-,-1
"16,200.00",-,-,4
"16,250.00",-,-,-12
"16,300.00",-,22,-3
"16,350.00",-,-,-
"16,400.00",-,-,-36
"16,450.00",-,-,-
"16,500.00",-,-285,-580
"16,550.00",-,-,-
"16,600.00",-,-3,-21
"16,650.00",-,-,-
"16,700.00",9,9,9
"16,750.00",-,-,-5
"16,800.00",-,40,-239
"16,850.00",-,-,-
"16,900.00",-36,-36,954
"16,950.00",-,-,-
"17,000.00",-,159,934
"17,050.00",-,-13,-11
"17,100.00",259,259,"2,776"
"17,150.00",-,-,-12
"17,200.00",-64,-64,-169
"17,250.00",-,3,16
"17,300.00",-,-34,"3,396"
"17,350.00",-,405,607
"17,400.00",610,610,72
"17,450.00",-,-19,-41
"17,500.00","1,204","1,204","3,955"
"17,550.00",-74,-74,"1,162"
"17,600.00",-,285,"1,032"
"17,650.00",-410,-410,-792
"17,700.00",-,"2,753","5,486"
"17,750.00",-,-378,-564
"17,800.00",-,"5,184","16,395"
"17,850.00",-,"-1,164",-91
"17,900.00","2,549","2,549","1,259"
"17,950.00",417,417,"-1,683"
"18,000.00","5,828","5,828","19,147"
"18,050.00",-,"-5,391","-6,408"
"18,100.00",-,"11,138","15,957"
"18,150.00","3,699","3,699","17,301"
"18,200.00",-,"22,356","66,670"
"18,250.00",-,"19,999","51,151"
"18,300.00",-,"79,426","1,14,507"
"18,350.00",-,"9,772","21,820"
"18,400.00","7,203","7,203","8,547"
"18,450.00",-,"1,084","1,780"
"18,500.00","2,696","2,696","3,906"
"18,550.00",-,100,108
"18,600.00",-,153,164
"18,650.00",-,15,11
"18,700.00",-,-34,-117
"18,750.00",-,-,-
"18,800.00",-,-13,-13
"18,850.00",-,-,-
"18,900.00",-,-,-5
"18,950.00",-,-,-
"19,000.00",-204,-204,-267
"19,050.00",-,-,-
"19,100.00",-,-,-1
"19,150.00",-,-,-
"19,200.00",-,-,-
"19,250.00",-,-,-
"19,300.00",-,-,-
"19,350.00",-,-,-
"19,400.00",-,-,-
"19,450.00",-,-,-
"19,500.00",-,-,-59
"19,550.00",-,-,-
"19,600.00",-,-,-
"19,650.00",-,-,-
"19,700.00",-,-,-
"19,750.00",-,-,-
"19,800.00",-,-,-
"19,850.00",-,-,-
"19,900.00",-,-,-
"19,950.00",-,-,-
