STRIKE_PRICE,09:30:32,09:35:12,09:40:14,09:46:12,09:50:14,10:00:38,10:05:14,10:10:46,10:15:16,10:22:00,10:25:16,10:30:16,10:35:56,10:40:18,10:47:00,10:52:00
"14,650.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"14,700.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"14,750.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"14,800.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"14,850.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"14,900.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"14,950.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"15,000.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"15,050.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"15,100.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"15,150.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"15,200.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"15,250.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"15,300.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"15,350.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"15,400.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"15,450.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"15,500.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"15,550.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"15,600.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"15,650.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"15,700.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"15,750.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"15,800.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"15,850.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"15,900.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"15,950.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"16,000.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"16,050.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"16,100.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"16,150.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"16,200.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"16,250.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"16,300.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"16,350.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"16,400.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"16,450.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"16,500.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"16,550.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"16,600.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"16,650.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"16,700.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"16,750.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"16,800.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"16,850.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"16,900.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"16,950.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"17,000.00",-,-,-,-,-,92,92,92,92,92,92,92,90,90,91,91
"17,050.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"17,100.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"17,150.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"17,200.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"17,250.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"17,300.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
