STRIKE_PRICE,09:30:32,09:35:12,09:40:14,09:46:12,09:50:14,10:00:38,10:05:14,10:10:46,10:15:16,10:22:00,10:25:16,10:30:16,10:35:56,10:40:18,10:47:00,10:52:00
"14,650.00",233,294,278,278,442,442,442,442,442,442,442,442,442,442,448,449
"14,700.00",-,-,-,-,-,-,-,60,61,61,60,66,66,69,81,81
"14,750.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"14,800.00",-,-,16,16,37,37,37,42,42,42,42,42,44,44,44,44
"14,850.00",32,30,34,34,52,53,53,53,53,54,54,54,54,54,54,54
"14,900.00",-,-,-,44,44,44,44,44,44,44,44,44,44,44,44,44
"14,950.00",9,12,26,26,26,26,26,26,26,26,26,26,26,26,40,42
"15,000.00",-75,1,-817,-817,"-1,058","-1,118","-1,118","-1,118","-1,184","-1,161","-1,161","-1,161","-1,161","-1,168","-1,168","-1,168"
"15,050.00",9,9,9,9,9,11,11,11,11,11,11,12,12,12,12,12
"15,100.00",-,-,-,-,-,27,27,27,27,27,27,27,27,27,27,27
"15,150.00",-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1
"15,200.00",8,13,13,33,33,46,46,46,46,46,46,46,46,46,46,46
"15,250.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"15,300.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"15,350.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"15,400.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"15,450.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"15,500.00",-77,-77,-77,-77,-77,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58
"15,550.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"15,600.00",-,-,18,18,18,18,18,18,46,46,46,46,46,46,46,46
"15,650.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"15,700.00",-,-,-,25,26,26,26,26,26,26,26,26,26,26,26,26
"15,750.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"15,800.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"15,850.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"15,900.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"15,950.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"16,000.00",641,549,"1,576","1,754","2,251","2,724","3,139","3,166","3,170","3,209","3,210","3,211","3,242","3,242","3,249","3,249"
"16,050.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"16,100.00",-,-,21,21,21,46,46,46,46,46,46,46,46,46,46,46
"16,150.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"16,200.00",61,60,63,67,39,36,36,37,37,38,39,39,39,39,39,39
"16,250.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"16,300.00",34,32,36,36,35,35,35,35,35,35,35,35,35,36,36,36
"16,350.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"16,400.00",22,18,34,34,46,26,26,26,26,21,21,21,38,38,45,47
"16,450.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"16,500.00","1,338","1,534","4,129","4,267","4,318","4,240","4,346","5,817","5,839","5,844","5,875","6,000","6,000","6,018","6,020","5,998"
"16,550.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"16,600.00",80,67,49,40,53,46,46,46,79,78,78,80,80,82,83,79
"16,650.00",5,6,23,23,26,42,35,35,33,33,32,32,32,32,34,34
"16,700.00",74,51,62,66,65,65,63,63,60,88,90,90,90,84,84,84
"16,750.00",31,24,22,22,22,20,19,19,19,19,19,19,19,20,44,55
"16,800.00","1,000",967,967,"1,005","1,028","1,028","1,082","1,055","1,042","1,075","1,075","1,078","1,071","1,061","1,073","1,073"
"16,850.00",38,40,44,44,48,48,77,77,77,76,80,95,74,74,75,75
"16,900.00",618,785,778,876,845,878,902,883,865,891,769,756,756,756,815,815
"16,950.00",-68,-66,-69,-69,-74,-73,-73,-73,-73,-73,-73,-72,-72,-72,-72,-72
"17,000.00","1,420","-10,244","-11,303","-11,818","-11,948","-11,889","-12,369","-13,315","-13,461","-13,657","-14,412","-14,372","-14,244","-14,813","-15,050","-15,040"
"17,050.00",88,72,113,444,427,724,"1,103",999,999,"1,002",966,966,965,959,972,"1,010"
"17,100.00","4,285","4,064","4,278","4,510","4,523","4,875","5,267","5,724","5,599","5,667","5,253","5,263","5,351","5,326","5,256","5,359"
"17,150.00",130,95,240,187,162,588,899,830,830,829,829,829,"1,025","1,025","1,051","1,108"
"17,200.00","5,080","4,835","5,123","5,375","5,513","5,748","6,316","6,342","6,361","6,384","6,170","6,004","6,251","6,293","6,582","6,674"
"17,250.00",127,160,317,273,249,471,815,733,750,793,787,787,795,798,824,888
